set,method,metric,pair,a,b,n,a_mean,a_std,b_mean,b_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Vertical,LDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,32.94223928420297,13.62262271632673,10.21280434379215,8.076826783791931,22.72943494041082,18.975711844006078,26.460969972634864,0.0,2.4868995751603507e-14
Vertical,LDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,32.94223928420297,13.62262271632673,29.723495716876215,14.444524984961141,3.218743567326747,0.32696655972785804,5.978779763156869,0.0353,0.017101069545240932
Vertical,LDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,47.95593235177915,16.082581852626806,17.5958151887203,13.108052871352378,30.360117163058842,25.636005658344658,35.22841076963774,0.0,2.4868995751603507e-14
Vertical,LDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,47.95593235177915,16.082581852626806,44.12402206007843,15.766278537241686,3.83191029170072,0.6247455787956201,6.912708275278527,0.0225,0.021794286702137455
Vertical,LDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,42.59582443386084,19.72360733468233,11.44032418093676,11.05283063987371,31.155500252924078,25.399799196757478,37.05334663311059,0.0,1.3535839116229909e-12
Vertical,LDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,42.59582443386084,19.72360733468233,34.333243350353676,16.434083554360935,8.262581083507161,3.486963232469973,13.119261767583822,0.0015,0.002049094724295486
Vertical,LDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,64.51955475942884,16.054039747704245,55.18337985657828,36.730696356361804,9.33617490285057,1.7514184507758608,17.54300520965113,0.0256,0.8109402812359416
Vertical,LDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,64.51955475942884,16.054039747704245,67.4660769304227,12.378046651404452,-2.9465221709938585,-4.877546975986124,-0.9909183679363559,0.005,0.0037864469724659955
Vertical,QDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,37.57575280270188,16.46608228876135,10.67471861608114,8.86769902686886,26.901034186620738,22.476546634445622,31.395294421840482,0.0,9.769962616701378e-14
Vertical,QDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,37.57575280270188,16.46608228876135,38.579592261256714,14.653452321606803,-1.0038394585548336,-3.969390594878672,1.5735843096265882,0.51,0.7089524432753507
Vertical,QDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,52.42679886384371,19.000693855280538,18.22242905271808,13.676490539484309,34.20436981112563,28.907863921665278,39.37245476070019,0.0,1.5631940186722204e-13
Vertical,QDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,52.42679886384371,19.000693855280538,54.000533581119214,16.47995409701733,-1.5737347172755114,-5.2905997251276,1.5599312425729701,0.4242,0.6876822045635382
Vertical,QDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,61.31588306311199,23.444199930628436,11.664723443407636,10.870532845769318,49.65115961970435,42.866878665283345,56.05421904999923,0.0,8.881784197001252e-15
Vertical,QDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,61.31588306311199,23.444199930628436,57.54293706580537,18.787594968158654,3.772945997306624,-1.5418642972426033,8.421780485481241,0.1596,0.016185270214664982
Vertical,QDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,53.69168441948632,21.521300034521172,61.58550700965401,34.546217814503585,-7.8938225901676855,-15.607340045273327,-0.1558986007415379,0.0529,0.014479791748943427
Vertical,QDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,53.69168441948632,21.521300034521172,56.33202672259062,18.154291421021433,-2.640342303104314,-5.7595457691148395,-0.0008013673870571304,0.0791,0.5086300594933544
Horizontal,LDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,29.817383183688683,10.232365362693402,10.888678986085061,12.680669738415403,18.928704197603622,15.452447644913626,22.46060122109087,0.0,1.1368683772161603e-12
Horizontal,LDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,29.817383183688683,10.232365362693402,22.886843419111194,8.985301152278343,6.930539764577492,4.961171701712871,8.846466031165702,0.0,2.0039570713947796e-07
Horizontal,LDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,45.021632673774846,11.897717182827053,17.549186307320642,18.79587968295263,27.472446366454207,22.597800705573,32.304320392705236,0.0,6.590283874174929e-13
Horizontal,LDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,45.021632673774846,11.897717182827053,36.417486515063,11.635875585795043,8.604146158711849,6.1924905473907765,10.841295978803323,0.0,8.403119267086367e-08
