set,image,method,condition,lam,time_s,IoU,Dice,Precision,Recall,Accuracy
Vertical,001.jpg,LDA,raw,,0.001,0.26965065502183405,0.4247635425623388,0.43716814159292033,0.41304347826086957,0.9897918701171875
Vertical,001.jpg,QDA,raw,,0.001,0.06343906510851419,0.11930926216640503,0.9743589743589743,0.06354515050167224,0.9914398193359375
Vertical,001.jpg,LDA,boxcox,1.4131156972854257,0.001,0.2525354969574036,0.40323886639676115,0.39089481946624804,0.41638795986622074,0.9887542724609375
Vertical,001.jpg,QDA,boxcox,1.4131156972854257,0.001,0.28721804511278193,0.4462616822429907,0.7403100775193798,0.3193979933110368,0.992767333984375
Vertical,001.jpg,LDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.990875244140625
Vertical,001.jpg,QDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.990875244140625
Vertical,001.jpg,LDA,clahe,,0.001,0.1787012987012987,0.3032172763331864,0.20586475164572113,0.5752508361204013,0.9758758544921875
Vertical,001.jpg,QDA,clahe,,0.001,0.22790697674418606,0.3712121212121212,0.7577319587628866,0.24581939799331104,0.992401123046875
Vertical,017.jpg,LDA,raw,,0.001,0.06265664160401002,0.1179245283018868,0.2840909090909091,0.0744047619047619,0.994293212890625
Vertical,017.jpg,QDA,raw,,0.001,0.0,0.0,0.0,0.0,0.994873046875
Vertical,017.jpg,LDA,boxcox,0.7844018365908189,0.001,0.07234042553191489,0.1349206349206349,0.20238095238095238,0.10119047619047619,0.99334716796875
Vertical,017.jpg,QDA,boxcox,0.7844018365908189,0.001,0.036827195467422094,0.07103825136612021,0.43333333333333335,0.03869047619047619,0.99481201171875
Vertical,017.jpg,LDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.994873046875
Vertical,017.jpg,QDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.994873046875
Vertical,017.jpg,LDA,clahe,,0.001,0.07909604519774012,0.14659685863874344,0.11308562197092084,0.20833333333333334,0.9875640869140625
Vertical,017.jpg,QDA,clahe,,0.001,0.0029498525073746312,0.0058823529411764705,0.25,0.002976190476190476,0.994842529296875
Vertical,018.jpg,LDA,raw,,0.001,0.12689173457508732,0.22520661157024793,0.1679506933744222,0.34169278996865204,0.988555908203125
Vertical,018.jpg,QDA,raw,,0.001,0.0061162079510703364,0.0121580547112462,0.2,0.006269592476489028,0.9950408935546875
Vertical,018.jpg,LDA,boxcox,1.0573731408893035,0.001,0.12903225806451613,0.22857142857142856,0.17252396166134185,0.3385579937304075,0.9888763427734375
Vertical,018.jpg,QDA,boxcox,1.0573731408893035,0.001,0.09290953545232274,0.17002237136465326,0.296875,0.11912225705329153,0.9943389892578125
Vertical,018.jpg,LDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.9951324462890625
Vertical,018.jpg,QDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.9951324462890625
Vertical,018.jpg,LDA,clahe,,0.001,0.10313447927199192,0.18698441796516957,0.13212435233160622,0.31974921630094044,0.9864654541015625
Vertical,018.jpg,QDA,clahe,,0.001,0.02,0.0392156862745098,0.18421052631578946,0.0219435736677116,0.9947662353515625
Vertical,019.jpg,LDA,raw,,0.001,0.43201133144475923,0.6033630069238378,0.5505415162454874,0.6673960612691466,0.9938812255859375
Vertical,019.jpg,QDA,raw,,0.001,0.39553752535496955,0.5668604651162791,0.8441558441558441,0.42669584245076586,0.995452880859375
Vertical,019.jpg,LDA,boxcox,1.5941023450355847,0.001,0.3878048780487805,0.5588752196836555,0.4669603524229075,0.6958424507658644,0.992340087890625
Vertical,019.jpg,QDA,boxcox,1.5941023450355847,0.001,0.4647887323943662,0.6346153846153846,0.704,0.5776805251641138,0.995361328125
Vertical,019.jpg,LDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.9930267333984375
Vertical,019.jpg,QDA,histeq,,0.001,0.12196679438058748,0.2174160500853728,0.1249591102387962,0.8358862144420132,0.958038330078125
Vertical,019.jpg,LDA,clahe,,0.001,0.20560152768936982,0.34107708553326294,0.22477383437717466,0.7067833698030634,0.98095703125
Vertical,019.jpg,QDA,clahe,,0.001,0.41968911917098445,0.5912408759124088,0.6657534246575343,0.5317286652078774,0.994873046875
Vertical,021.jpg,LDA,raw,,0.001,0.4823848238482385,0.6508226691042047,0.716297786720322,0.5963149078726968,0.994171142578125
Vertical,021.jpg,QDA,raw,,0.001,0.40275650842266464,0.574235807860262,0.8244514106583072,0.440536013400335,0.994049072265625
Vertical,021.jpg,LDA,boxcox,2.9453282577413678,0.001,0.34763181411974975,0.5159151193633952,0.4270032930845225,0.6515912897822446,0.988861083984375
Vertical,021.jpg,QDA,boxcox,2.9453282577413678,0.001,0.48364153627311524,0.6519654841802492,0.7623318385650224,0.5695142378559463,0.9944610595703125
Vertical,021.jpg,LDA,histeq,,0.001,0.23536165327210104,0.38104089219330856,0.26366559485530544,0.6867671691792295,0.97967529296875
Vertical,021.jpg,QDA,histeq,,0.001,0.20756595321055252,0.3437757625721352,0.22799343903772554,0.6984924623115578,0.9757080078125
Vertical,021.jpg,LDA,clahe,,0.001,0.31092436974789917,0.47435897435897434,0.36371760500446826,0.6817420435510888,0.986236572265625
Vertical,021.jpg,QDA,clahe,,0.001,0.48074179743223966,0.649325626204239,0.764172335600907,0.5644891122278057,0.99444580078125
