set,image,method,condition,lam,IoU,Dice,Precision,Recall,Accuracy
Vertical,001.jpg,SVM,noBC,,0.2823803967327888,0.44040036396724297,0.48303393213572854,0.40468227424749165,0.9906158447265625
Vertical,001.jpg,LightGBM,noBC,,0.2515090543259557,0.40192926045016075,0.38699690402476783,0.4180602006688963,0.9886474609375
Vertical,001.jpg,KNN,noBC,,0.13288590604026845,0.23459715639810427,0.15356773526370218,0.49665551839464883,0.970428466796875
Vertical,001.jpg,LDA,noBC,,0.26965065502183405,0.4247635425623388,0.43716814159292033,0.41304347826086957,0.9897918701171875
Vertical,001.jpg,QDA,noBC,,0.06343906510851419,0.11930926216640503,0.9743589743589743,0.06354515050167224,0.9914398193359375
Vertical,001.jpg,SVM,BC,1.4131156358208774,0.2800925925925926,0.4376130198915009,0.4763779527559055,0.40468227424749165,0.990509033203125
Vertical,001.jpg,LightGBM,BC,1.4131156358208774,0.22563652326602282,0.3681948424068768,0.32205513784461154,0.4297658862876254,0.986541748046875
Vertical,001.jpg,KNN,BC,1.4131156358208774,0.13288590604026845,0.23459715639810427,0.15356773526370218,0.49665551839464883,0.970428466796875
Vertical,001.jpg,LDA,BC,1.4131156358208774,0.2525354969574036,0.40323886639676115,0.39089481946624804,0.41638795986622074,0.9887542724609375
Vertical,001.jpg,QDA,BC,1.4131156358208774,0.28721804511278193,0.4462616822429907,0.7403100775193798,0.3193979933110368,0.992767333984375
Vertical,017.jpg,SVM,noBC,,0.0759493670886076,0.1411764705882353,0.16216216216216217,0.125,0.9922027587890625
Vertical,017.jpg,LightGBM,noBC,,0.06826801517067003,0.12781065088757396,0.10609037328094302,0.16071428571428573,0.9887542724609375
Vertical,017.jpg,KNN,noBC,,0.05249169435215947,0.09974747474747475,0.06330128205128205,0.23511904761904762,0.978240966796875
Vertical,017.jpg,LDA,noBC,,0.06265664160401002,0.1179245283018868,0.2840909090909091,0.0744047619047619,0.994293212890625
Vertical,017.jpg,QDA,noBC,,0.0,0.0,0.0,0.0,0.994873046875
Vertical,017.jpg,SVM,BC,0.7844017986781592,0.07446808510638298,0.13861386138613863,0.15555555555555556,0.125,0.992034912109375
Vertical,017.jpg,LightGBM,BC,0.7844017986781592,0.06826801517067003,0.12781065088757396,0.10609037328094302,0.16071428571428573,0.9887542724609375
Vertical,017.jpg,KNN,BC,0.7844017986781592,0.05249169435215947,0.09974747474747475,0.06330128205128205,0.23511904761904762,0.978240966796875
Vertical,017.jpg,LDA,BC,0.7844017986781592,0.07234042553191489,0.1349206349206349,0.20238095238095238,0.10119047619047619,0.99334716796875
Vertical,017.jpg,QDA,BC,0.7844017986781592,0.036827195467422094,0.07103825136612021,0.43333333333333335,0.03869047619047619,0.99481201171875
Vertical,018.jpg,SVM,noBC,,0.12700369913686807,0.22538293216630198,0.173109243697479,0.322884012539185,0.98919677734375
Vertical,018.jpg,LightGBM,noBC,,0.11347517730496454,0.20382165605095542,0.14358974358974358,0.3510971786833856,0.9866485595703125
Vertical,018.jpg,KNN,noBC,,0.094186902133922,0.17215870880968392,0.1095890410958904,0.4012539184952978,0.9812164306640625
Vertical,018.jpg,LDA,noBC,,0.12689173457508732,0.22520661157024793,0.1679506933744222,0.34169278996865204,0.988555908203125
Vertical,018.jpg,QDA,noBC,,0.0061162079510703364,0.0121580547112462,0.2,0.006269592476489028,0.9950408935546875
Vertical,018.jpg,SVM,BC,1.057373064941097,0.1276073619631902,0.22633297062023938,0.17333333333333334,0.32601880877742945,0.9891510009765625
Vertical,018.jpg,LightGBM,BC,1.057373064941097,0.11347517730496454,0.20382165605095542,0.14358974358974358,0.3510971786833856,0.9866485595703125
Vertical,018.jpg,KNN,BC,1.057373064941097,0.09467455621301775,0.17297297297297298,0.11024978466838932,0.4012539184952978,0.9813232421875
Vertical,018.jpg,LDA,BC,1.057373064941097,0.12903225806451613,0.22857142857142856,0.17252396166134185,0.3385579937304075,0.9888763427734375
Vertical,018.jpg,QDA,BC,1.057373064941097,0.09290953545232274,0.17002237136465326,0.296875,0.11912225705329153,0.9943389892578125
Vertical,019.jpg,SVM,noBC,,0.3671607753705815,0.5371142618849041,0.4339622641509434,0.7045951859956237,0.9915313720703125
Vertical,019.jpg,LightGBM,noBC,,0.2716627634660422,0.427255985267035,0.29692832764505117,0.7614879649890591,0.9857635498046875
Vertical,019.jpg,KNN,noBC,,0.26656626506024095,0.42092746730083236,0.2889795918367347,0.774617067833698,0.985137939453125
Vertical,019.jpg,LDA,noBC,,0.43201133144475923,0.6033630069238378,0.5505415162454874,0.6673960612691466,0.9938812255859375
Vertical,019.jpg,QDA,noBC,,0.39553752535496955,0.5668604651162791,0.8441558441558441,0.42669584245076586,0.995452880859375
Vertical,019.jpg,SVM,BC,1.5941022981400503,0.36220472440944884,0.5317919075144508,0.4270557029177719,0.7045951859956237,0.9913482666015625
Vertical,019.jpg,LightGBM,BC,1.5941022981400503,0.3088768115942029,0.47197231833910036,0.3451417004048583,0.7461706783369803,0.9883575439453125
Vertical,019.jpg,KNN,BC,1.5941022981400503,0.26492537313432835,0.41887905604719766,0.2867528271405493,0.7768052516411379,0.9849700927734375
Vertical,019.jpg,LDA,BC,1.5941022981400503,0.3878048780487805,0.5588752196836555,0.4669603524229075,0.6958424507658644,0.992340087890625
Vertical,019.jpg,QDA,BC,1.5941022981400503,0.4647887323943662,0.6346153846153846,0.704,0.5776805251641138,0.995361328125
Vertical,021.jpg,SVM,noBC,,0.4186046511627907,0.5901639344262295,0.5526315789473685,0.6331658291457286,0.9919891357421875
Vertical,021.jpg,LightGBM,noBC,,0.24369747899159663,0.3918918918918919,0.2752542372881356,0.6800670016750419,0.98077392578125
Vertical,021.jpg,KNN,noBC,,0.24305949008498584,0.3910665451230629,0.2686286787726988,0.7185929648241206,0.9796142578125
Vertical,021.jpg,LDA,noBC,,0.4823848238482385,0.6508226691042047,0.716297786720322,0.5963149078726968,0.994171142578125
Vertical,021.jpg,QDA,noBC,,0.40275650842266464,0.574235807860262,0.8244514106583072,0.440536013400335,0.994049072265625
Vertical,021.jpg,SVM,BC,2.945328260543171,0.4136069114470842,0.5851795263559969,0.5379213483146067,0.6415410385259631,0.9917144775390625
Vertical,021.jpg,LightGBM,BC,2.945328260543171,0.24369747899159663,0.3918918918918919,0.2752542372881356,0.6800670016750419,0.98077392578125
Vertical,021.jpg,KNN,BC,2.945328260543171,0.24305949008498584,0.3910665451230629,0.2686286787726988,0.7185929648241206,0.9796142578125
Vertical,021.jpg,LDA,BC,2.945328260543171,0.34763181411974975,0.5159151193633952,0.4270032930845225,0.6515912897822446,0.988861083984375
Vertical,021.jpg,QDA,BC,2.945328260543171,0.48364153627311524,0.6519654841802492,0.7623318385650224,0.5695142378559463,0.9944610595703125
Vertical,086.jpg,SVM,noBC,,0.3913738019169329,0.5625717566016073,0.5671296296296297,0.5580865603644647,0.9941864013671875
Vertical,086.jpg,LightGBM,noBC,,0.327319587628866,0.49320388349514566,0.42978003384094754,0.5785876993166287,0.992034912109375
Vertical,086.jpg,KNN,noBC,,0.25806451612903225,0.41025641025641024,0.3113207547169811,0.6013667425968109,0.9884185791015625
Vertical,086.jpg,LDA,noBC,,0.40102389078498296,0.5724725943970768,0.6151832460732984,0.5353075170842825,0.9946441650390625
Vertical,086.jpg,QDA,noBC,,0.3142292490118577,0.4781954887218045,0.7035398230088495,0.3621867881548975,0.9947052001953125
Vertical,086.jpg,SVM,BC,2.364642021995318,0.39012738853503187,0.561282932416953,0.5645161290322581,0.5580865603644647,0.9941558837890625
Vertical,086.jpg,LightGBM,BC,2.364642021995318,0.327319587628866,0.49320388349514566,0.42978003384094754,0.5785876993166287,0.992034912109375
Vertical,086.jpg,KNN,BC,2.364642021995318,0.27395833333333336,0.43008994276369583,0.3354591836734694,0.5990888382687927,0.9893646240234375
Vertical,086.jpg,LDA,BC,2.364642021995318,0.392,0.5632183908045977,0.568445475638051,0.5580865603644647,0.99420166015625
Vertical,086.jpg,QDA,BC,2.364642021995318,0.3663003663003663,0.5361930294906166,0.6514657980456026,0.45558086560364464,0.994720458984375
Vertical,087.jpg,SVM,noBC,,0.2605233219567691,0.41335740072202165,0.31673582295988933,0.5948051948051948,0.990081787109375
Vertical,087.jpg,LightGBM,noBC,,0.2102127659574468,0.34739803094233473,0.2381870781099325,0.6415584415584416,0.98583984375
Vertical,087.jpg,KNN,noBC,,0.19069412662090007,0.3203074951953876,0.21258503401360543,0.6493506493506493,0.9838104248046875
Vertical,087.jpg,LDA,noBC,,0.3151515151515151,0.4792626728110599,0.4306418219461698,0.5402597402597402,0.99310302734375
Vertical,087.jpg,QDA,noBC,,0.26048565121412803,0.4133099824868651,0.6344086021505376,0.3064935064935065,0.9948883056640625
Vertical,087.jpg,SVM,BC,1.905632008501226,0.2617680826636051,0.41492265696087355,0.31932773109243695,0.5922077922077922,0.9901885986328125
Vertical,087.jpg,LightGBM,BC,1.905632008501226,0.20458265139116202,0.33967391304347827,0.22999080036798528,0.6493506493506493,0.98516845703125
Vertical,087.jpg,KNN,BC,1.905632008501226,0.19157088122605365,0.3215434083601286,0.21367521367521367,0.6493506493506493,0.9839019775390625
Vertical,087.jpg,LDA,BC,1.905632008501226,0.2895805142083897,0.4491080797481637,0.3767605633802817,0.5558441558441558,0.9919891357421875
Vertical,087.jpg,QDA,BC,1.905632008501226,0.3208955223880597,0.4858757062146893,0.5325077399380805,0.44675324675324674,0.99444580078125
Vertical,089.jpg,SVM,noBC,,0.29712041884816753,0.4581231079717457,0.3840947546531303,0.5675,0.9918060302734375
Vertical,089.jpg,LightGBM,noBC,,0.25396825396825395,0.4050632911392405,0.3057324840764331,0.6,0.9892425537109375
Vertical,089.jpg,KNN,noBC,,0.20047355958958168,0.3339907955292571,0.22658340767172166,0.635,0.9845428466796875
Vertical,089.jpg,LDA,noBC,,0.34231378763866877,0.5100354191263282,0.48322147651006714,0.54,0.9936676025390625
Vertical,089.jpg,QDA,noBC,,0.29148936170212764,0.4514003294892916,0.6618357487922706,0.3425,0.9949188232421875
Vertical,089.jpg,SVM,BC,2.2094569432435516,0.2939666238767651,0.45436507936507936,0.37664473684210525,0.5725,0.991607666015625
Vertical,089.jpg,LightGBM,BC,2.2094569432435516,0.25396825396825395,0.4050632911392405,0.3057324840764331,0.6,0.9892425537109375
Vertical,089.jpg,KNN,BC,2.2094569432435516,0.20047355958958168,0.3339907955292571,0.22658340767172166,0.635,0.9845428466796875
Vertical,089.jpg,LDA,BC,2.2094569432435516,0.2939666238767651,0.45436507936507936,0.37664473684210525,0.5725,0.991607666015625
Vertical,089.jpg,QDA,BC,2.2094569432435516,0.35589941972920697,0.5249643366619116,0.6112956810631229,0.46,0.9949188232421875
Vertical,090.jpg,SVM,noBC,,0.3089430894308943,0.4720496894409938,0.3781094527363184,0.628099173553719,0.992218017578125
Vertical,090.jpg,LightGBM,noBC,,0.27199074074074076,0.42766151046405826,0.31929347826086957,0.6473829201101928,0.9904022216796875
Vertical,090.jpg,KNN,noBC,,0.23923923923923923,0.3861066235864297,0.27314285714285713,0.6584022038567493,0.9884033203125
Vertical,090.jpg,LDA,noBC,,0.3463949843260188,0.5145518044237486,0.44556451612903225,0.6088154269972452,0.9936370849609375
Vertical,090.jpg,QDA,noBC,,0.28211586901763225,0.4400785854616896,0.7671232876712328,0.3085399449035813,0.9956512451171875
Vertical,090.jpg,SVM,BC,1.9734234767889354,0.31888111888111886,0.4835630965005302,0.3931034482758621,0.628099173553719,0.9925689697265625
Vertical,090.jpg,LightGBM,BC,1.9734234767889354,0.27199074074074076,0.42766151046405826,0.31929347826086957,0.6473829201101928,0.9904022216796875
Vertical,090.jpg,KNN,BC,1.9734234767889354,0.23971915747241726,0.38673139158576053,0.27376861397479957,0.6584022038567493,0.988433837890625
Vertical,090.jpg,LDA,BC,1.9734234767889354,0.3149171270718232,0.4789915966386555,0.3870967741935484,0.628099173553719,0.992431640625
Vertical,090.jpg,QDA,BC,1.9734234767889354,0.38878143133462284,0.5598885793871866,0.5661971830985916,0.5537190082644629,0.99517822265625
Vertical,091.jpg,SVM,noBC,,0.2926829268292683,0.4528301886792453,0.3812405446293495,0.5575221238938053,0.9907073974609375
Vertical,091.jpg,LightGBM,noBC,,0.25070688030160226,0.400904295403165,0.304,0.588495575221239,0.9878692626953125
Vertical,091.jpg,KNN,noBC,,0.15012853470437018,0.2610639248994189,0.16358543417366947,0.6460176991150443,0.9747772216796875
Vertical,091.jpg,LDA,noBC,,0.2835164835164835,0.4417808219178082,0.36033519553072624,0.5707964601769911,0.99005126953125
Vertical,091.jpg,QDA,noBC,,0.32558139534883723,0.49122807017543857,0.7241379310344828,0.37168141592920356,0.99468994140625
