set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Vertical,001.jpg,SVM,noBC,,0,0.009158803823339582,0.018151362874980967,0.009159085320875338,0.9966555183946488,0.016143798828125
Vertical,017.jpg,SVM,noBC,,0,0.01884718077587561,0.03699707106520734,0.019509022923101936,0.35714285714285715,0.9046783447265625
Vertical,086.jpg,SVM,noBC,,0,0.05641802347595608,0.10681003584229391,0.05796537638591714,0.6788154897494305,0.9239501953125
Vertical,089.jpg,SVM,noBC,,0,0.18988326848249026,0.31916285153695223,0.21612046058458814,0.61,0.9841156005859375
Vertical,090.jpg,SVM,noBC,,0,0.35526315789473684,0.5242718446601942,0.4685466377440347,0.5950413223140496,0.9940185546875
Vertical,001.jpg,LightGBM,noBC,,0,0.009227238186808926,0.018285749408402226,0.009227667493796526,0.9949832775919732,0.025146484375
Vertical,017.jpg,LightGBM,noBC,,0,0.01214611056533,0.0240007059031148,0.012367009184322998,0.40476190476190477,0.8312225341796875
Vertical,086.jpg,LightGBM,noBC,,0,0.03324753324753325,0.06435540793024704,0.03371397498640565,0.7061503416856492,0.862457275390625
Vertical,089.jpg,LightGBM,noBC,,0,0.05415860735009671,0.10275229357798166,0.055937846836847945,0.63,0.9328460693359375
Vertical,090.jpg,LightGBM,noBC,,0,0.08339350180505416,0.15394868377207596,0.08756633813495072,0.6363636363636364,0.9612579345703125
Vertical,001.jpg,KNN,noBC,,0,0.009261853616014445,0.0183537177845983,0.009262286150158004,0.9949832775919732,0.0288238525390625
Vertical,017.jpg,KNN,noBC,,0,0.011233230968159043,0.022216894429793015,0.01141496263447483,0.41369047619047616,0.8133087158203125
Vertical,086.jpg,KNN,noBC,,0,0.028409601726153016,0.055249584753912055,0.028727272727272726,0.7198177676537585,0.8350982666015625
Vertical,089.jpg,KNN,noBC,,0,0.04337552742616034,0.08314461339372371,0.04444828778969215,0.6425,0.91351318359375
Vertical,090.jpg,KNN,noBC,,0,0.07195160776822668,0.13424413424413426,0.07523302263648468,0.6225895316804407,0.9555206298828125
Vertical,001.jpg,LDA,noBC,,0,0.009158381609478003,0.018150533704871102,0.009158663081060316,0.9966555183946488,0.0160980224609375
Vertical,017.jpg,LDA,noBC,,0,0.01897741530740276,0.037247960597198704,0.019639668884921278,0.3601190476190476,0.9045562744140625
Vertical,086.jpg,LDA,noBC,,0,0.05520563171545017,0.10463483146067416,0.05668632299790755,0.6788154897494305,0.92218017578125
Vertical,089.jpg,LDA,noBC,,0,0.18683001531393567,0.31483870967741934,0.21217391304347827,0.61,0.983795166015625
Vertical,090.jpg,LDA,noBC,,0,0.35294117647058826,0.5217391304347826,0.4645161290322581,0.5950413223140496,0.99395751953125
Vertical,001.jpg,QDA,noBC,,0,0.009301888565254157,0.01843232172779743,0.009302471262567733,0.9933110367892977,0.03466796875
Vertical,017.jpg,QDA,noBC,,0,0.02821220484513953,0.05487623024157471,0.030493868080875043,0.27380952380952384,0.9516448974609375
Vertical,086.jpg,QDA,noBC,,0,0.1249442213297635,0.22213407378024594,0.1344860710854947,0.6378132118451025,0.9700775146484375
Vertical,089.jpg,QDA,noBC,,0,0.28983688833124216,0.4494163424124514,0.3678343949044586,0.5775,0.991363525390625
Vertical,090.jpg,QDA,noBC,,0,0.3857965451055662,0.556786703601108,0.5598885793871866,0.5537190082644629,0.9951171875
Vertical,001.jpg,SVM,BC,1.4131156358208774,0,0.08286674132138858,0.15305067218200621,0.09051987767584098,0.49498327759197325,0.95001220703125
Vertical,017.jpg,SVM,BC,0.7844017986781592,0,0.06647807637906648,0.1246684350132626,0.11244019138755981,0.13988095238095238,0.98992919921875
Vertical,086.jpg,SVM,BC,2.364642021995318,0,0.04007262352483465,0.0770573566084788,0.0407597942223981,0.7038724373576309,0.887054443359375
Vertical,089.jpg,SVM,BC,2.2094569432435516,0,0.025164769322947873,0.049094097019286964,0.025395180098471106,0.735,0.8262176513671875
Vertical,090.jpg,SVM,BC,1.9734234767889354,0,0.14699074074074073,0.25630676084762866,0.15688696726374304,0.699724517906336,0.977508544921875
Vertical,001.jpg,LightGBM,BC,1.4131156358208774,0,0.049925360756344336,0.09510268562401264,0.05251221214235869,0.5033444816053512,0.91259765625
Vertical,017.jpg,LightGBM,BC,0.7844017986781592,0,0.014204545454545454,0.028011204481792718,0.015316067947646894,0.1636904761904762,0.9417572021484375
Vertical,086.jpg,LightGBM,BC,2.364642021995318,0,0.03320713899405084,0.06427973199329984,0.03368813782508504,0.6993166287015945,0.863616943359375
Vertical,089.jpg,LightGBM,BC,2.2094569432435516,0,0.022036474164133738,0.04312267657992565,0.022222222222222223,0.725,0.803619384765625
Vertical,090.jpg,LightGBM,BC,1.9734234767889354,0,0.05817429294090595,0.1099521946979574,0.05968388770936542,0.696969696969697,0.9375
Vertical,001.jpg,KNN,BC,1.4131156358208774,0,0.04047029702970297,0.07779231592720352,0.041874759892431807,0.5468227424749164,0.8816986083984375
Vertical,017.jpg,KNN,BC,0.7844017986781592,0,0.029047619047619048,0.05645534474780194,0.033424657534246574,0.18154761904761904,0.9688873291015625
Vertical,086.jpg,KNN,BC,2.364642021995318,0,0.030597517559896086,0.05937820931752404,0.030957943925233645,0.724373576309795,0.8462677001953125
Vertical,089.jpg,KNN,BC,2.2094569432435516,0,0.019699024736808114,0.03863693944768178,0.01982063945931895,0.7625,0.768402099609375
Vertical,090.jpg,KNN,BC,1.9734234767889354,0,0.04882186616399623,0.09309849029475198,0.04979811574697174,0.7134986225895317,0.923004150390625
Vertical,001.jpg,LDA,BC,1.4131156358208774,0,0.06459838504037399,0.12135728542914172,0.06890299184043518,0.5083612040133779,0.932830810546875
Vertical,017.jpg,LDA,BC,0.7844017986781592,0,0.06179775280898876,0.1164021164021164,0.090311986863711,0.1636904761904762,0.9872589111328125
Vertical,086.jpg,LDA,BC,2.364642021995318,0,0.032691909786881856,0.06331396513724705,0.03311327674735408,0.7198177676537585,0.857330322265625
Vertical,089.jpg,LDA,BC,2.2094569432435516,0,0.022262509064539523,0.04355536639001206,0.022413667226399942,0.7675,0.7942657470703125
Vertical,090.jpg,LDA,BC,1.9734234767889354,0,0.12493946731234867,0.22212656048213517,0.13163265306122449,0.7107438016528925,0.9724273681640625
Vertical,001.jpg,QDA,BC,1.4131156358208774,0,0.08644859813084112,0.15913978494623657,0.09481101857783472,0.49498327759197325,0.9522705078125
